      Step     Time          Energy          fmax
BFGS:    0 11:23:06     -194.525533        0.369347
BFGS:    1 11:23:08     -194.527042        0.174071
BFGS:    2 11:23:11     -194.528173        0.226923
BFGS:    3 11:23:14     -194.534763        0.363615
BFGS:    4 11:23:16     -194.537033        0.275549
BFGS:    5 11:23:19     -194.540069        0.167261
BFGS:    6 11:23:21     -194.544782        0.389708
BFGS:    7 11:23:24     -194.554714        0.675668
BFGS:    8 11:23:27     -194.566028        0.722838
BFGS:    9 11:23:29     -194.576793        0.445493
BFGS:   10 11:23:32     -194.585260        0.235293
BFGS:   11 11:23:34     -194.589281        0.232343
BFGS:   12 11:23:37     -194.601932        0.529329
BFGS:   13 11:23:39     -194.609371        0.487275
BFGS:   14 11:23:42     -194.614017        0.245834
BFGS:   15 11:23:45     -194.615215        0.140529
BFGS:   16 11:23:47     -194.616161        0.198654
BFGS:   17 11:23:50     -194.624067        0.721183
BFGS:   18 11:23:52     -194.624372        1.625279
BFGS:   19 11:23:55     -194.659692        0.809242
BFGS:   20 11:23:57     -194.681251        0.720326
BFGS:   21 11:24:00     -194.735778        1.528104
BFGS:   22 11:24:03     -194.811700        3.206452
BFGS:   23 11:24:05     -195.025636        2.781075
BFGS:   24 11:24:08     -195.284578        2.400870
BFGS:   25 11:24:11     -195.617696        1.795728
BFGS:   26 11:24:13     -195.865875        2.649762
BFGS:   27 11:24:16     -196.114564        1.167922
BFGS:   28 11:24:18     -196.142312        2.195426
BFGS:   29 11:24:21     -196.228754        1.509824
BFGS:   30 11:24:23     -196.331562        0.729331
BFGS:   31 11:24:26     -196.424497        0.663499
BFGS:   32 11:24:29     -196.449567        1.235847
BFGS:   33 11:24:31     -196.470758        0.354089
BFGS:   34 11:24:34     -196.477373        0.347735
BFGS:   35 11:24:36     -196.496835        0.362916
BFGS:   36 11:24:39     -196.508506        0.295301
BFGS:   37 11:24:41     -196.520118        0.195347
BFGS:   38 11:24:44     -196.524559        0.156643
BFGS:   39 11:24:46     -196.526620        0.120520
BFGS:   40 11:24:49     -196.528154        0.151121
BFGS:   41 11:24:51     -196.530431        0.156453
BFGS:   42 11:24:54     -196.532005        0.128320
BFGS:   43 11:24:57     -196.532836        0.078342
BFGS:   44 11:24:59     -196.533878        0.099812
BFGS:   45 11:25:02     -196.535650        0.171835
BFGS:   46 11:25:04     -196.538133        0.208090
BFGS:   47 11:25:07     -196.540565        0.182357
BFGS:   48 11:25:09     -196.542186        0.121221
BFGS:   49 11:25:12     -196.543239        0.120999
BFGS:   50 11:25:14     -196.544452        0.146315
BFGS:   51 11:25:17     -196.546413        0.211172
BFGS:   52 11:25:19     -196.548454        0.184018
BFGS:   53 11:25:22     -196.549592        0.084272
BFGS:   54 11:25:25     -196.550151        0.079369
BFGS:   55 11:25:27     -196.550783        0.101085
BFGS:   56 11:25:30     -196.551670        0.130683
BFGS:   57 11:25:32     -196.552564        0.106264
BFGS:   58 11:25:35     -196.552988        0.045900
      Step     Time          Energy          fmax
BFGS:    0 00:06:55     -194.525533        0.369347
BFGS:    1 00:06:58     -194.527044        0.174071
BFGS:    2 00:07:00     -194.528173        0.226924
BFGS:    3 00:07:03     -194.534755        0.363555
BFGS:    4 00:07:05     -194.537046        0.275518
BFGS:    5 00:07:08     -194.540067        0.167095
BFGS:    6 00:07:10     -194.544788        0.389961
BFGS:    7 00:07:13     -194.554708        0.675316
BFGS:    8 00:07:16     -194.566032        0.722668
BFGS:    9 00:07:18     -194.576787        0.445661
BFGS:   10 00:07:21     -194.585262        0.235290
BFGS:   11 00:07:23     -194.589279        0.232154
BFGS:   12 00:07:26     -194.601940        0.529345
BFGS:   13 00:07:29     -194.609374        0.487283
BFGS:   14 00:07:31     -194.614023        0.245693
BFGS:   15 00:07:34     -194.615221        0.140692
BFGS:   16 00:07:36     -194.616168        0.199075
BFGS:   17 00:07:39     -194.624126        0.723583
BFGS:   18 00:07:41     -194.628297        1.587585
BFGS:   19 00:07:44     -194.661893        0.857399
BFGS:   20 00:07:47     -194.686538        0.781565
BFGS:   21 00:07:49     -194.745893        1.641763
BFGS:   22 00:07:52     -194.830797        3.391600
BFGS:   23 00:07:54     -195.055770        2.800605
BFGS:   24 00:07:57     -195.340501        2.321380
BFGS:   25 00:08:00     -195.728410        1.528510
BFGS:   26 00:08:02     -195.882759        2.890471
BFGS:   27 00:08:05     -196.169412        1.177690
BFGS:   28 00:08:07     -196.229112        0.703517
BFGS:   29 00:08:10     -196.325992        1.121248
BFGS:   30 00:08:13     -196.415252        0.631539
BFGS:   31 00:08:15     -196.409465        2.073513
BFGS:   32 00:08:18     -196.468154        0.336775
BFGS:   33 00:08:20     -196.475938        0.344436
BFGS:   34 00:08:23     -196.488847        0.442069
BFGS:   35 00:08:25     -196.497999        0.393071
BFGS:   36 00:08:28     -196.518075        0.223919
BFGS:   37 00:08:30     -196.523296        0.184711
BFGS:   38 00:08:33     -196.525644        0.138659
BFGS:   39 00:08:35     -196.527011        0.105619
BFGS:   40 00:08:38     -196.529802        0.099053
